"Product ID","SKU / Item Code","Product Name","Department (Main)",Sub-Category,"Base Price ($)","Total Stock (Units)","Stock Status","Product Status","Wholesale Volume Tier Pricing","Variants Count","Primary Image URL",Description
86,CIG-GAM-NSILV,"Game Garcia y Vega Natural Silver Cigarillos (2 for $1.29 Box)","Cigars, Cigarillos & Wraps","Cigarillos & Foil Pouches",34.50,950,"In Stock",Active,"1+: $34.50 | 5+: $32.00 | 20+: $29.95",2,https://carolinaprimedistributors.com/storage/products/game-garcia-y-vega-natural-silver-cigarillos.jpg,"Game Garcia y Vega Natural Silver Cigarillos crafted with all-natural Connecticut shade leaf wrappers. Pre-priced at 2 Cigars for $1.29 in foil fresh resealable pouches. Display box contains 30 pouches (60 cigars total). High margin counter display essential for C-stores and smoke shops."
87,CIG-SWI-CLAS,"Swisher Sweets Classic Cigarillos (2-Pack Foil Pouch Display Box)","Cigars, Cigarillos & Wraps","Cigarillos & Foil Pouches",33.99,1148,"In Stock",Active,"1+: $33.99 | 5+: $31.50 | 20+: $29.50",2,https://carolinaprimedistributors.com/storage/products/swisher-sweets-classic-cigarillos-box.jpg,"Swisher Sweets Classic Cigarillos feature a signature sweet blend with a smooth, slow burning tobacco wrapper. Packaged in stay-fresh resealable 2-cigar foil pouches. Display box contains 30 pouches (60 cigars total). #1 best-selling wholesale cigarillo line across convenience stores nationwide."
88,CIG-DUT-PLM40,"Dutch Masters Palma Natural Leaf Cigars (Display Box of 40)","Cigars, Cigarillos & Wraps","Natural Leaf Cigars",42.00,718,"In Stock",Active,"1+: $42.00 | 5+: $39.50 | 20+: $36.90",2,https://carolinaprimedistributors.com/storage/products/dutch-masters-palma-natural-leaf-box-40.jpg,"Dutch Masters Palma Natural Connecticut Shade Leaf cigars crafted since 1912. Renowned for their slow, even burn and rich, mellow aroma with natural tobacco leaf wrapping. Upright display box contains 40 individually cellophane-wrapped premium Palma cigars. Retailer counter staple."
89,CIG-DUT-TRY55,"Dutch Masters Palma Hand Selected Natural Leaf (55-Count Open Tray Display)","Cigars, Cigarillos & Wraps","Natural Leaf Cigars",54.00,719,"In Stock",Active,"1+: $54.00 | 5+: $51.00 | 20+: $47.50",2,https://carolinaprimedistributors.com/storage/products/dutch-masters-palma-cigar-tray-display-55.jpg,"Dutch Masters Palma hand-selected natural Connecticut shade leaf cigars in an attractive retail counter open-tray display. Sealed fresh for maximum moisture and aroma retention. Tray holds 55 single cigars ready for quick point-of-sale impulse purchases."
90,CIG-MID-BKM50,"Middleton's Black & Mild Pipe Tobacco Cigars (10 Packs of 5 Cigars Display)","Cigars, Cigarillos & Wraps","Pipe & Shag Tobacco",46.50,796,"In Stock",Active,"1+: $46.50 | 5+: $43.90 | 20+: $41.25",2,https://carolinaprimedistributors.com/storage/products/middletons-black-and-mild-pipe-tobacco-cigars.jpg,"Middleton's Black & Mild original pipe-tobacco cigars with ivory plastic tips. Packed with premium aromatic Cavendish and Virginia pipe tobaccos delivering an unmistakable aroma and smooth draw. Display carton contains 10 packs of 5 cigars each (50 plastic-tipped cigars total)."
91,CIG-OWL-MNG60,"White Owl Mango Slow Burn Cigarillos (Save on 2 Cigars Display Box)","Cigars, Cigarillos & Wraps","Cigarillos & Foil Pouches",32.50,852,"In Stock",Active,"1+: $32.50 | 5+: $29.95 | 20+: $27.90",2,https://carolinaprimedistributors.com/storage/products/white-owl-mango-slow-burn-cigarillos.jpg,"White Owl Mango slow-burn cigarillos infuse luscious ripe tropical mango essence with smooth sheet-wrapped tobacco filler. Foil fresh sealed 2-cigar pouches keep cigars fresh from factory to customer. Display box contains 30 pouches (60 cigars total). High customer demand item."
92,CIG-SWI-BLK30,"Swisher Sweets BLK Smooth Pipe Tip Cigarillos (15 Foil Packs of 2)","Cigars, Cigarillos & Wraps","Pipe & Shag Tobacco",26.99,1134,"In Stock",Active,"1+: $26.99 | 5+: $24.50 | 20+: $22.75",2,https://carolinaprimedistributors.com/storage/products/swisher-sweets-blk-smooth-pipe-tip-cigarillos.jpg,"Swisher Sweets BLK Smooth Pipe Tip Cigarillos feature rich English pipe tobacco blends encased in dark wrapper leaf with premium reusable black tips. Display box contains 15 resealable foil pouches with 2 tip cigarillos per pouch (30 cigars total). Modern aesthetic with smooth aroma."
93,CIG-LOO-CIN16,"LooseLeaf Cookies Cinnamon Milk Natural Leaf Wraps (8 Packs of 2 Wraps)","Cigars, Cigarillos & Wraps","Whole Leaf & Blunt Wraps",28.00,797,"In Stock",Active,"1+: $28.00 | 5+: $25.50 | 20+: $23.50",2,https://carolinaprimedistributors.com/storage/products/looseleaf-cookies-cinnamon-milk-wraps.jpg,"LooseLeaf Cookies Cinnamon Milk limited edition all-natural whole leaf wraps. Hand cut from 100% premium whole leaf tobacco with perfectly cut edges and no thick veins. Infused with warm cinnamon and sweet cream dessert notes. Display box contains 8 pouches of 2 natural leaf wraps."
94,CIG-SWI-LEAF30,"Swisher Sweets Leaf All Natural Tobacco Cigars (Honey, Original & Sweet Aromatic)","Cigars, Cigarillos & Wraps","Whole Leaf & Blunt Wraps",24.95,1386,"In Stock",Active,"1+: $24.95 | 5+: $22.50 | 20+: $20.90",3,https://carolinaprimedistributors.com/storage/products/swisher-sweets-leaf-all-natural-cigars.jpg,"Swisher Sweets Leaf cigars crafted from rustic, 100% all-natural tobacco wrapper leaf for an authentic, bold, slow-burning smoke. Available in top consumer flavors including Honey, Original, and Sweet Aromatic. Packaged in 3-cigar stay-fresh foil pouches. Display box contains 10 pouches (30 cigars)."
95,CIG-BAK-RUS40,"Backwoods Russian Cream All Natural Leaf Cigars (8 Packs of 5 Cigars Box)","Cigars, Cigarillos & Wraps","Whole Leaf & Blunt Wraps",48.00,1209,"In Stock",Active,"1+: $48.00 | 5+: $44.50 | 20+: $41.90",2,https://carolinaprimedistributors.com/storage/products/backwoods-russian-cream-cigars-box.jpg,"Backwoods Russian Cream cigars are wrapped in aged 100% natural broadleaf tobacco with an unfinished frayed head and tapered body. Infused with smooth vodka, rich dark coffee, and sweet fresh cream notes. Upright display box contains 8 foil pouches of 5 cigars (40 cigars total). High velocity seller."
96,CIG-CHY-LTL100,"Cheyenne Filtered Little Cigars 100's (Carton of 10 Hard Packs)","Cigars, Cigarillos & Wraps","Little Cigars & Cigarettes",22.50,1868,"In Stock",Active,"1+: $22.50 | 5+: $20.90 | 20+: $18.95",4,https://carolinaprimedistributors.com/storage/products/cheyenne-little-cigars-100s-carton.jpg,"Cheyenne 100's Filtered Little Cigars made in the USA with premium American-grown tobaccos. Features a smooth firm filter delivering rich taste at an economical price point. Available in Full Flavor, Light, Menthol, and Vanilla. Carton contains 10 hard packs of 20 cigars (200 filtered cigars total)."
97,CIG-DUT-BRY60,"Dutch by Dutch Masters Berry Fusion Burst Cigarillos (Save More on 2 Box)","Cigars, Cigarillos & Wraps","Cigarillos & Foil Pouches",34.00,885,"In Stock",Active,"1+: $34.00 | 5+: $31.50 | 20+: $28.95",2,https://carolinaprimedistributors.com/storage/products/dutch-by-dutch-masters-berry-fusion-burst.jpg,"Dutch by Dutch Masters Berry Fusion Burst slow burn cigarillos. Rolled with all natural leaf wrappers and filled with sweet berry fusion aroma for a smooth and fragrant smoke. Display box contains 30 stay-fresh resealable 2-cigar foil pouches (60 cigars total). Eye-catching pink & black packaging."
99,APP-TSH-DZ12,"Premium Heavyweight 100% Cotton Crew Neck T-Shirts (Dozen Bundle 12-Pack)","General Merchandise & C-Store","Apparel & Wearables",48.00,958,"In Stock",Active,"1+: $48.00 | 5+: $44.00 | 20+: $39.95",2,https://carolinaprimedistributors.com/storage/products/premium-cotton-crew-neck-tshirts-white-black.jpg,"Classic heavyweight 6.0 oz 100% preshrunk cotton plain crew neck t-shirts. Features double-needle stitching, taped neck and shoulders, and tear-away tags. Wholesale dozen bundle includes pre-sorted size breakdown (3 Medium, 4 Large, 3 XL, 2 2XL) in classic solid White or Black."
100,CIG-GLO-RED100,"Global Classic Red 100's Filtered Cigarettes (Master Carton of 10 Packs)","Cigars, Cigarillos & Wraps","Little Cigars & Cigarettes",38.50,846,"In Stock",Active,"1+: $38.50 | 5+: $36.00 | 20+: $33.50",2,https://carolinaprimedistributors.com/storage/products/global-classic-red-100s-cigarettes-carton.jpg,"Global Classic Red 100's premium American blend filtered cigarettes made in the U.S.A. Crafted with fine Virginia and toasted Burley tobacco for a full-flavor rich smoking profile. Master retail carton contains 10 hard flip-top packs with 20 cigarettes per pack (200 cigarettes total)."
